,Peaks,q1,,,,,,,
5-year,180.31,,,,,,,,
10-year,211.75,,,,,,,,
20-year,241.91,,,,,,,,
50-year,280.95,,,,,,,,
Jan-05,,4.687,,,,,,,
1000-year,406.88,,,,,,,,
,,,,,,,,,
,,,,Jan-05,5-year,10-year,20-year,50-year,1000-year
,,,max check,381.167,180.31,211.75,241.91,280.95,406.88
,,,max,381.167,180.31,211.75,241.91,280.95,406.88
,,,q1,4.687,,,,,
,,DateTime,,,,,,,
,,1/05/2005 11:20,,7.224,5.870477345,6.082343261,6.285583593,6.548663916,7.397273165
,,1/05/2005 11:25,,7.224,5.870477345,6.082343261,6.285583593,6.548663916,7.397273165
,,1/05/2005 11:30,,7.269,5.891469257,6.107093142,6.313938446,6.581685152,7.445346595
,,1/05/2005 11:35,,7.247,5.881206545,6.0949932,6.300076073,6.565541436,7.421844029
,,1/05/2005 11:40,,7.247,5.881206545,6.0949932,6.300076073,6.565541436,7.421844029
,,1/05/2005 11:45,,7.292,5.902198457,6.119743081,6.328430926,6.598562673,7.469917459
,,1/05/2005 11:50,,7.338,5.923656856,6.145042958,6.357415887,6.632317714,7.519059188
,,1/05/2005 11:55,,7.385,5.945581741,6.170892834,6.387030955,6.666806561,7.569269215
,,1/05/2005 12:00,,7.408,5.956310941,6.183542773,6.401523436,6.683684081,7.593840079
,,1/05/2005 12:05,,7.477,5.988498539,6.221492589,6.445000877,6.734316644,7.667552672
,,1/05/2005 12:10,,7.547,6.021152624,6.259992403,6.489108425,6.785683011,7.742333564
,,1/05/2005 12:15,,7.641,6.065002396,6.311692154,6.548338562,6.854660704,7.842753618
,,1/05/2005 12:20,,7.692,6.088793229,6.339742018,6.580474062,6.892084772,7.897236839
,,1/05/2005 12:25,,7.801,6.139640305,6.399691729,6.649155817,6.972069544,8.01368137
,,1/05/2005 12:30,,7.911,6.190953867,6.460191436,6.71846768,7.052788122,8.131194199
,,1/05/2005 12:35,,8.109,6.28331828,6.569090911,6.843229032,7.198081561,8.342717292
,,1/05/2005 12:40,,8.284,6.364953493,6.665340446,6.953497904,7.326497479,8.52966952
,,1/05/2005 12:45,,8.554,6.490904964,6.813839729,7.123627021,7.524624896,8.818110101
,,1/05/2005 12:50,,8.708,6.562743952,6.898539319,7.220663629,7.637630905,8.982628063
,,1/05/2005 12:55,,8.929,6.665837564,7.020088732,7.359917462,7.799801865,9.21872202
,,1/05/2005 13:00,,9.255,6.817912303,7.199387867,7.565332618,8.039022376,9.566987314
,,1/05/2005 13:05,,9.662,7.007772485,7.423236785,7.821786509,8.337681112,10.00178478
,,1/05/2005 13:10,,10.158,7.239150003,7.696035468,8.134319998,8.701648515,10.53166081
,,1/05/2005 13:15,,10.756,7.518109188,8.02493388,8.511124487,9.140464054,11.17050329
,,1/05/2005 13:20,,11.112,7.684178535,8.220732934,8.735442879,9.401698722,11.55081753
,,1/05/2005 13:25,,11.722,7.968735564,8.556231314,9.119808662,9.849319924,12.20247959
,,1/05/2005 13:30,,12.472,8.318600762,8.968729322,9.592389543,10.39967386,13.00370342
,,1/05/2005 13:35,,13.11,8.616219425,9.319627627,9.994398345,10.86784161,13.68527783
,,1/05/2005 13:40,,13.723,8.902175914,9.656775999,10.38065445,11.31766423,14.34014478
,,1/05/2005 13:45,,14.011,9.03652415,9.815175234,10.56212551,11.52900014,14.64781474
,,1/05/2005 13:50,,14.543,9.284695198,10.10777382,10.89734288,11.91938453,15.21614951
,,1/05/2005 13:55,,15.094,9.541729497,10.41082236,11.2445323,12.32371122,15.80478196
,,1/05/2005 14:00,,15.663,9.807160561,10.72377085,11.60306366,12.74124641,16.41264377
,,1/05/2005 14:05,,16.185,10.05066674,11.01086946,11.93197996,13.12429275,16.97029556
,,1/05/2005 14:10,,16.586,10.237728,11.23141839,12.1846532,13.41854865,17.39868324
,,1/05/2005 14:15,,17.218,10.53254774,11.57901672,12.58288136,13.88231357,18.07384786
,,1/05/2005 14:20,,17.731,10.77185554,11.86116535,12.90612668,14.25875566,18.62188497
,,1/05/2005 14:25,,18.487,11.12451966,12.27696334,13.38248821,14.81351243,19.42951859
,,1/05/2005 14:30,,20.081,11.86809982,13.15365911,14.38688011,15.983198,21.13238632
,,1/05/2005 14:35,,21.003,12.29820078,13.66075666,14.96783953,16.65976644,22.11735749
,,1/05/2005 14:40,,22.315,12.91023163,14.38235318,15.79454102,17.62251892,23.51896506
,,1/05/2005 14:45,,22.765,13.12015075,14.62985198,16.07808955,17.95273128,23.99969936
,,1/05/2005 14:50,,24.063,13.72565079,15.34374853,16.89596953,18.9052105,25.38635074
,,1/05/2005 14:55,,26.11,14.68054954,16.4695931,18.18580028,20.40730984,27.57315767
,,1/05/2005 15:00,,27.23,15.2030149,17.08559012,18.89152106,21.22917172,28.76965193
,,1/05/2005 15:05,,28.066,15.59299797,17.5453879,19.41829122,21.84263291,29.66274943
,,1/05/2005 15:10,,29.854,16.42707661,18.52878315,20.54492404,23.15467669,31.57286706
,,1/05/2005 15:15,,30.479,16.71863094,18.87253149,20.93874144,23.61330497,32.24055359
,,1/05/2005 15:20,,30.584,16.76761207,18.93028121,21.00490276,23.69035452,32.35272493
,,1/05/2005 15:25,,31.641,17.26068875,19.51162841,21.67092675,24.46598667,33.48191639
,,1/05/2005 15:30,,33.044,17.91516992,20.28327468,22.55496805,25.49551544,34.98073911
,,1/05/2005 15:35,,33.702,18.22211832,20.64517293,22.96957901,25.97835929,35.68367949
,,1/05/2005 15:40,,33.482,18.11949119,20.52417352,22.83095528,25.81692213,35.44865383
,,1/05/2005 15:45,,34.033,18.37652549,20.82722205,23.1781447,26.22124883,36.03728628
,,1/05/2005 15:50,,35.263,18.95030442,21.50371878,23.95317735,27.12382928,37.35129337
